2017-03-01;12.13
2017-02-24;12.13
2017-02-23;12.13
2017-02-22;12.88
2017-02-21;12.88
2017-02-20;12.88
2017-02-17;12.88
2017-02-16;12.88
2017-02-15;12.88
2017-02-14;12.88
2017-02-13;12.88
2017-02-10;12.88
2017-02-09;12.88
2017-02-08;12.88
2017-02-07;12.88
2017-02-06;12.88
2017-02-03;12.88
2017-02-02;12.88
2017-02-01;12.88
2017-01-31;12.88
2017-01-30;12.88
2017-01-27;12.88
2017-01-26;12.88
2017-01-25;12.88
2017-01-24;12.88
2017-01-23;12.88
2017-01-20;12.88
2017-01-19;12.88
2017-01-18;12.88
2017-01-17;12.88
2017-01-16;12.88
2017-01-13;12.88
2017-01-12;12.88
2017-01-11;13.63
2017-01-10;13.63
2017-01-09;13.63
2017-01-06;13.63
2017-01-05;13.63
2017-01-04;13.63
2017-01-03;13.63
2017-01-02;13.63
